MN_,DATA_TIME_,C_SO2_1H,I_SO2_1H,C_NO2_1H,I_NO2_1H,C_PM10_1H,C_PM10_24H_MV,I_PM10_24H_MV,C_CO1_1H,I_CO1_1H,C_O3_1H,I_O3_1H,C_O3_8H_MV,C_PM25_1H,C_PM25_24H_MV,I_PM25_24H_MV,AQI_,PRIMARY_POLLUTANTS_,LEVEL_,CATEGORY_,COLOR_,STATE_
51010901001,1/1/2018 0:00,4.0,2.0,101.0,51.0,220.0,322.0,135.0,0.78,8.0,16.0,5.0,44.0,85.0,104.0,113.0,135.0,PM10,三级,轻度污染,橙色,正常
51010901001,1/1/2018 1:00,5.0,2.0,95.0,48.0,210.0,314.0,130.0,0.768,8.0,21.0,7.0,21.0,85.0,102.0,113.0,130.0,PM10,三级,轻度污染,橙色,正常
51010901001,1/1/2018 2:00,5.0,2.0,94.0,47.0,193.0,305.0,122.0,0.785,8.0,19.0,6.0,20.0,83.0,100.0,110.0,122.0,PM10,三级,轻度污染,橙色,正常
51010901001,1/1/2018 3:00,4.0,2.0,96.0,48.0,181.0,301.0,116.0,0.7609999999999999,8.0,16.0,5.0,,81.0,99.0,108.0,116.0,PM10,三级,轻度污染,橙色,正常
51010901001,1/1/2018 4:00,6.0,2.0,99.0,50.0,183.0,297.0,117.0,0.882,9.0,6.0,2.0,,85.0,97.0,113.0,117.0,PM10,三级,轻度污染,橙色,正常
51010901001,1/1/2018 5:00,7.0,3.0,92.0,46.0,195.0,294.0,123.0,0.966,10.0,6.0,2.0,,93.0,96.0,123.0,123.0,"PM10,PM2.5",三级,轻度污染,橙色,正常
51010901001,1/1/2018 6:00,7.0,3.0,87.0,44.0,192.0,293.0,121.0,0.986,10.0,6.0,2.0,,96.0,96.0,127.0,127.0,PM2.5,三级,轻度污染,橙色,正常
51010901001,1/1/2018 7:00,9.0,3.0,80.0,40.0,199.0,,125.0,1.043,11.0,6.0,2.0,,103.0,,135.0,135.0,PM2.5,三级,轻度污染,橙色,正常
51010901001,1/1/2018 8:00,14.0,5.0,79.0,40.0,219.0,291.0,135.0,1.091,11.0,6.0,2.0,,113.0,95.0,148.0,148.0,PM2.5,三级,轻度污染,橙色,正常
51010901001,1/1/2018 9:00,18.0,6.0,81.0,41.0,228.0,289.0,139.0,1.114,12.0,6.0,2.0,,118.0,94.0,155.0,155.0,PM2.5,四级,中度污染,红色,正常
51010901001,1/1/2018 10:00,16.0,6.0,80.0,40.0,243.0,265.0,147.0,1.263,13.0,8.0,3.0,8.0,125.0,93.0,165.0,165.0,PM2.5,四级,中度污染,红色,正常
51010901001,1/1/2018 11:00,15.0,5.0,87.0,44.0,232.0,253.0,141.0,1.3980000000000001,14.0,8.0,3.0,6.0,120.0,95.0,158.0,158.0,PM2.5,四级,中度污染,红色,正常
51010901001,1/1/2018 12:00,16.0,6.0,81.0,41.0,248.0,248.0,149.0,0.992,10.0,34.0,11.0,10.0,122.0,95.0,160.0,160.0,PM2.5,四级,中度污染,红色,正常
51010901001,1/1/2018 13:00,15.0,5.0,55.0,28.0,226.0,244.0,138.0,0.737,8.0,73.0,23.0,18.0,108.0,95.0,142.0,142.0,PM2.5,三级,轻度污染,橙色,正常
51010901001,1/1/2018 14:00,10.0,4.0,50.0,25.0,207.0,240.0,129.0,0.6459999999999999,7.0,87.0,28.0,28.0,94.0,95.0,124.0,129.0,PM10,三级,轻度污染,橙色,正常
51010901001,1/1/2018 15:00,7.0,3.0,40.0,20.0,196.0,236.0,123.0,0.563,6.0,107.0,34.0,41.0,82.0,95.0,109.0,123.0,PM10,三级,轻度污染,橙色,正常
51010901001,1/1/2018 16:00,8.0,3.0,37.0,19.0,236.0,232.0,143.0,0.546,6.0,120.0,38.0,55.0,88.0,95.0,117.0,143.0,PM10,三级,轻度污染,橙色,正常
51010901001,1/1/2018 17:00,6.0,2.0,44.0,22.0,223.0,229.0,137.0,0.5579999999999999,6.0,113.0,36.0,69.0,87.0,95.0,115.0,137.0,PM10,三级,轻度污染,橙色,正常
