MN_,DATA_TIME_,C_SO2_1H,I_SO2_1H,C_NO2_1H,I_NO2_1H,C_PM10_1H,C_PM10_24H_MV,I_PM10_24H_MV,C_CO1_1H,I_CO1_1H,C_O3_1H,I_O3_1H,C_O3_8H_MV,C_PM25_1H,C_PM25_24H_MV,I_PM25_24H_MV,AQI_,PRIMARY_POLLUTANTS_,LEVEL_,CATEGORY_,COLOR_,STATE_
51010501001,1/1/2018 0:00,,,,,,367.0,,,,,,51.0,,109.0,,,,,,,正常
51010501001,1/1/2018 1:00,,,,,,365.0,,,,,,,,110.0,,,,,,,正常
51010501001,1/1/2018 2:00,7.0,3.0,88.0,44.0,227.0,362.0,139.0,1.192,12.0,22.0,7.0,,94.0,111.0,124.0,139.0,PM10,三级,轻度污染,橙色,正常
51010501001,1/1/2018 3:00,10.0,4.0,101.0,51.0,247.0,361.0,149.0,1.3769999999999998,14.0,8.0,3.0,,99.0,112.0,130.0,149.0,PM10,三级,轻度污染,橙色,正常
51010501001,1/1/2018 4:00,13.0,5.0,93.0,47.0,264.0,360.0,157.0,1.225,13.0,8.0,3.0,,105.0,113.0,138.0,157.0,PM10,四级,中度污染,红色,正常
51010501001,1/1/2018 5:00,15.0,5.0,88.0,44.0,239.0,358.0,145.0,1.1520000000000001,12.0,8.0,3.0,,104.0,113.0,137.0,145.0,PM10,三级,轻度污染,橙色,正常
51010501001,1/1/2018 6:00,,,,,,356.0,,,,,,,,112.0,,,,,,,正常
51010501001,1/1/2018 7:00,,,,,,,,,,,,,,,,,,,,,正常
51010501001,1/1/2018 8:00,,,,,,349.0,,,,,,,,108.0,,,,,,,正常
51010501001,1/1/2018 9:00,,,,,,344.0,,,,,,,,105.0,,,,,,,正常
51010501001,1/1/2018 10:00,,,,,,338.0,,,,,,,,102.0,,,,,,,正常
51010501001,1/1/2018 11:00,,,,,,,,,,,,,,,,,,,,,正常
51010501001,1/1/2018 12:00,16.0,6.0,94.0,47.0,249.0,,150.0,1.308,14.0,32.0,10.0,,101.0,,133.0,150.0,PM10,三级,轻度污染,橙色,正常
51010501001,1/1/2018 13:00,15.0,5.0,74.0,37.0,232.0,310.0,141.0,1.081,11.0,62.0,20.0,62.0,89.0,94.0,118.0,141.0,PM10,三级,轻度污染,橙色,正常
51010501001,1/1/2018 14:00,15.0,5.0,56.0,28.0,236.0,298.0,143.0,0.9620000000000001,10.0,90.0,29.0,76.0,84.0,93.0,112.0,143.0,PM10,三级,轻度污染,橙色,正常
51010501001,1/1/2018 15:00,15.0,5.0,55.0,28.0,249.0,290.0,150.0,0.9440000000000001,10.0,98.0,31.0,83.0,87.0,92.0,115.0,150.0,PM10,三级,轻度污染,橙色,正常
51010501001,1/1/2018 16:00,14.0,5.0,57.0,29.0,259.0,285.0,155.0,0.9490000000000001,10.0,101.0,32.0,88.0,90.0,93.0,119.0,155.0,PM10,四级,中度污染,红色,正常
51010501001,1/1/2018 17:00,14.0,5.0,58.0,29.0,256.0,279.0,153.0,0.972,10.0,104.0,33.0,91.0,91.0,93.0,120.0,153.0,PM10,四级,中度污染,红色,正常
51010501001,1/1/2018 18:00,13.0,5.0,61.0,31.0,264.0,275.0,157.0,0.977,10.0,101.0,32.0,93.0,93.0,93.0,123.0,157.0,PM10,四级,中度污染,红色,正常
